"trial_type","trial_index","time_elapsed","internal_node_id","screen_height","screen_width","browser","browser_version","mobile","os","vsync_rate","participant_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","fullscreen","webcam","microphone","screen","version","date","time","rt","stimulus","response","question_order","trial_duration","trial_number"
"html-keyboard-response","220","3479655","0.0-25.0-0.65","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","983",""
"image-keyboard-response","221","3480167","0.0-25.0-1.65","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1037.jpg","null","","500","66"
"multiple-slider","222","3493819","0.0-25.0-2.65","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","13637.199999988079","","{""perceived_realness"":99,""Attractiveness"":45,""Approachability"":74,""Trustworthiness"":67,""Familiarity"":56,""Similarity"":56}","[0,1,2,3,4,5]","",""
"html-keyboard-response","223","3494649","0.0-25.0-0.66","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","813",""
"image-keyboard-response","224","3495161","0.0-25.0-1.66","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1026.jpg","null","","500","67"
"multiple-slider","225","3512329","0.0-25.0-2.66","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","17153.5","","{""perceived_realness"":35,""Attractiveness"":22,""Approachability"":61,""Trustworthiness"":55,""Familiarity"":37,""Similarity"":4}","[0,1,2,3,4,5]","",""
"html-keyboard-response","226","3513337","0.0-25.0-0.67","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","989",""
"image-keyboard-response","227","3513848","0.0-25.0-1.67","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1023.jpg","null","","500","68"
"multiple-slider","228","3532533","0.0-25.0-2.67","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","18666.5","","{""perceived_realness"":64,""Attractiveness"":28,""Approachability"":78,""Trustworthiness"":76,""Familiarity"":30,""Similarity"":17}","[0,1,2,3,4,5]","",""
"html-keyboard-response","229","3533258","0.0-25.0-0.68","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","715",""
