trial_type,trial_index,time_elapsed,internal_node_id,screen_height,screen_width,browser,browser_version,mobile,os,vsync_rate,participant_id,study_id,session_id,success,timeout,failed_images,failed_audio,failed_video,width,height,webaudio,fullscreen,webcam,microphone,screen,version,date,time,rt,stimulus,response,question_order,trial_duration,trial_number
html-keyboard-response,226,1373058,0.0-25.0-0.67,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,fixation,,,,null,"<div style=""font-size:60px;"">+</div>",null,,853,
image-keyboard-response,227,1373559,0.0-25.0-1.67,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,stimuli,,,,null,stimuli/AMFD/NF-1088.jpg,null,,500,68
multiple-slider,228,1380145,0.0-25.0-2.67,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,questionnaire,,,,6581.7,,"{""perceived_realness"":73,""Attractiveness"":65,""Approachability"":65,""Trustworthiness"":66,""Familiarity"":80,""Similarity"":0}","[0,1,2,3,4,5]",,
html-keyboard-response,229,1380930,0.0-25.0-0.68,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,fixation,,,,null,"<div style=""font-size:60px;"">+</div>",null,,772,
image-keyboard-response,230,1381440,0.0-25.0-1.68,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,stimuli,,,,null,stimuli/AMFD/NF-1001.jpg,null,,500,69
multiple-slider,231,1392608,0.0-25.0-2.68,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,questionnaire,,,,11163.2,,"{""perceived_realness"":14,""Attractiveness"":22,""Approachability"":33,""Trustworthiness"":67,""Familiarity"":81,""Similarity"":0}","[0,1,2,3,4,5]",,
html-keyboard-response,232,1393617,0.0-25.0-0.69,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,fixation,,,,null,"<div style=""font-size:60px;"">+</div>",null,,995,
image-keyboard-response,233,1394118,0.0-25.0-1.69,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,stimuli,,,,null,stimuli/AMFD/NF-1097.jpg,null,,500,70
multiple-slider,234,1400312,0.0-25.0-2.69,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,questionnaire,,,,6192.9,,"{""perceived_realness"":77,""Attractiveness"":68,""Approachability"":73,""Trustworthiness"":33,""Familiarity"":77,""Similarity"":0}","[0,1,2,3,4,5]",,
html-keyboard-response,235,1401138,0.0-25.0-0.70,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,fixation,,,,null,"<div style=""font-size:60px;"">+</div>",null,,819,
image-keyboard-response,236,1401649,0.0-25.0-1.70,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,stimuli,,,,null,stimuli/AMFD/NF-1105.jpg,null,,500,71
multiple-slider,237,1410782,0.0-25.0-2.70,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,questionnaire,,,,9131.9,,"{""perceived_realness"":15,""Attractiveness"":20,""Approachability"":60,""Trustworthiness"":23,""Familiarity"":75,""Similarity"":0}","[0,1,2,3,4,5]",,
html-keyboard-response,238,1411783,0.0-25.0-0.71,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,fixation,,,,null,"<div style=""font-size:60px;"">+</div>",null,,995,
image-keyboard-response,239,1412294,0.0-25.0-1.71,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,stimuli,,,,null,stimuli/AMFD/NF-1024.jpg,null,,500,72
multiple-slider,240,1426420,0.0-25.0-2.71,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,questionnaire,,,,14121.7,,"{""perceived_realness"":11,""Attractiveness"":46,""Approachability"":63,""Trustworthiness"":62,""Familiarity"":0,""Similarity"":0}","[0,1,2,3,4,5]",,
html-keyboard-response,241,1427343,0.0-25.0-0.72,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,fixation,,,,null,"<div style=""font-size:60px;"">+</div>",null,,923,
image-keyboard-response,242,1427848,0.0-25.0-1.72,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,stimuli,,,,null,stimuli/AMFD/NF-1063.jpg,null,,500,73
multiple-slider,243,1435258,0.0-25.0-2.72,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,questionnaire,,,,7409.5,,"{""perceived_realness"":78,""Attractiveness"":21,""Approachability"":71,""Trustworthiness"":64,""Familiarity"":77,""Similarity"":0}","[0,1,2,3,4,5]",,
html-keyboard-response,244,1436113,0.0-25.0-0.73,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,fixation,,,,null,"<div style=""font-size:60px;"">+</div>",null,,854,
image-keyboard-response,245,1436616,0.0-25.0-1.73,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,stimuli,,,,null,stimuli/AMFD/NM-1035.jpg,null,,500,74
multiple-slider,246,1445433,0.0-25.0-2.73,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,questionnaire,,,,8815.4,,"{""perceived_realness"":70,""Attractiveness"":56,""Approachability"":56,""Trustworthiness"":63,""Familiarity"":0,""Similarity"":2}","[0,1,2,3,4,5]",,
html-keyboard-response,247,1445959,0.0-25.0-0.74,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,fixation,,,,null,"<div style=""font-size:60px;"">+</div>",null,,525,
image-keyboard-response,248,1446465,0.0-25.0-1.74,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,stimuli,,,,null,stimuli/AMFD/NF-1050.jpg,null,,500,75
multiple-slider,249,1454859,0.0-25.0-2.74,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,questionnaire,,,,8392.7,,"{""perceived_realness"":94,""Attractiveness"":34,""Approachability"":66,""Trustworthiness"":70,""Familiarity"":6,""Similarity"":0}","[0,1,2,3,4,5]",,
html-keyboard-response,250,1455429,0.0-25.0-0.75,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,fixation,,,,null,"<div style=""font-size:60px;"">+</div>",null,,562,
image-keyboard-response,251,1455940,0.0-25.0-1.75,1080,1920,chrome,104.0.0,FALSE,Windows 10,166.94,5d7d0cc0e32539001a174642_j5roh,6305c89ecee325b445378330,6305c8d32e8496112c2d4cb1,,,,,,,,,,,,stimuli,,,,null,stimuli/AMFD/NF-1106.jpg,null,,500,76
